,year,state,state_po,candidate,party,candidatevotes,totalvotes,join_col,Winner,vote_percent
0,1976,Alabama,AL,"Carter, Jimmy",Democratic,659170,1182850,1976-Democratic,True,55.73
1,1976,Alabama,AL,"Ford, Gerald",Republican,504070,1182850,1976-Republican,False,42.61
2,1976,Alaska,AK,"Ford, Gerald",Republican,71555,123574,1976-Republican,False,57.9
3,1976,Alaska,AK,"Carter, Jimmy",Democratic,44058,123574,1976-Democratic,True,35.65
4,1976,Arizona,AZ,"Ford, Gerald",Republican,418642,742719,1976-Republican,False,56.37
5,1976,Arizona,AZ,"Carter, Jimmy",Democratic,295602,742719,1976-Democratic,True,39.8
6,1976,Arkansas,AR,"Carter, Jimmy",Democratic,498604,767535,1976-Democratic,True,64.96
7,1976,Arkansas,AR,"Ford, Gerald",Republican,267903,767535,1976-Republican,False,34.9
8,1976,California,CA,"Ford, Gerald",Republican,3882244,7803770,1976-Republican,False,49.75
9,1976,California,CA,"Carter, Jimmy",Democratic,3742284,7803770,1976-Democratic,True,47.95
10,1976,Colorado,CO,"Ford, Gerald",Republican,584278,1081440,1976-Republican,False,54.03
11,1976,Colorado,CO,"Carter, Jimmy",Democratic,460801,1081440,1976-Democratic,True,42.61
12,1976,Connecticut,CT,"Ford, Gerald",Republican,719261,1386355,1976-Republican,False,51.88
13,1976,Connecticut,CT,"Carter, Jimmy",Democratic,647895,1386355,1976-Democratic,True,46.73
14,1976,Delaware,DE,"Carter, Jimmy",Democratic,122461,235642,1976-Democratic,True,51.97
15,1976,Delaware,DE,"Ford, Gerald",Republican,109780,235642,1976-Republican,False,46.59
16,1976,District of Columbia,DC,"Carter, Jimmy",Democratic,137818,168830,1976-Democratic,True,81.63
17,1976,District of Columbia,DC,"Ford, Gerald",Republican,27873,168830,1976-Republican,False,16.51
18,1976,Florida,FL,"Carter, Jimmy",Democratic,1636000,3150631,1976-Democratic,True,51.93
19,1976,Florida,FL,"Ford, Gerald",Republican,1469531,3150631,1976-Republican,False,46.64
20,1976,Georgia,GA,"Carter, Jimmy",Democratic,979409,1463152,1976-Democratic,True,66.94
21,1976,Georgia,GA,"Ford, Gerald",Republican,483743,1463152,1976-Republican,False,33.06
22,1976,Hawaii,HI,"Carter, Jimmy",Democratic,147375,291301,1976-Democratic,True,50.59
23,1976,Hawaii,HI,"Ford, Gerald",Republican,140003,291301,1976-Republican,False,48.06
24,1976,Idaho,ID,"Ford, Gerald",Republican,204151,340932,1976-Republican,False,59.88
25,1976,Idaho,ID,"Carter, Jimmy",Democratic,126549,340932,1976-Democratic,True,37.12
26,1976,Illinois,IL,"Ford, Gerald",Republican,2364269,4721282,1976-Republican,False,50.08
27,1976,Illinois,IL,"Carter, Jimmy",Democratic,2271295,4721282,1976-Democratic,True,48.11
28,1976,Indiana,IN,"Ford, Gerald",Republican,1183958,2220362,1976-Republican,False,53.32
29,1976,Indiana,IN,"Carter, Jimmy",Democratic,1014714,2220362,1976-Democratic,True,45.7
30,1976,Iowa,IA,"Ford, Gerald",Republican,632864,1279303,1976-Republican,False,49.47
31,1976,Iowa,IA,"Carter, Jimmy",Democratic,619931,1279303,1976-Democratic,True,48.46
32,1976,Kansas,KS,"Ford, Gerald",Republican,502752,957845,1976-Republican,False,52.49
33,1976,Kansas,KS,"Carter, Jimmy",Democratic,430421,957845,1976-Democratic,True,44.94
34,1976,Kentucky,KY,"Carter, Jimmy",Democratic,615717,1167142,1976-Democratic,True,52.75
35,1976,Kentucky,KY,"Ford, Gerald",Republican,531852,1167142,1976-Republican,False,45.57
36,1976,Louisiana,LA,"Carter, Jimmy",Democratic,661365,1277383,1976-Democratic,True,51.77
37,1976,Louisiana,LA,"Ford, Gerald",Republican,587446,1277383,1976-Republican,False,45.99
38,1976,Maine,ME,"Ford, Gerald",Republican,236320,482968,1976-Republican,False,48.93
39,1976,Maine,ME,"Carter, Jimmy",Democratic,232279,482968,1976-Democratic,True,48.09
40,1976,Maryland,MD,"Carter, Jimmy",Democratic,759612,1432273,1976-Democratic,True,53.04
41,1976,Maryland,MD,"Ford, Gerald",Republican,672661,1432273,1976-Republican,False,46.96
42,1976,Massachusetts,MA,"Carter, Jimmy",Democratic,1429475,2547558,1976-Democratic,True,56.11
43,1976,Massachusetts,MA,"Ford, Gerald",Republican,1030276,2547558,1976-Republican,False,40.44
44,1976,Michigan,MI,"Ford, Gerald",Republican,1893742,3651590,1976-Republican,False,51.86
45,1976,Michigan,MI,"Carter, Jimmy",Democratic,1696714,3651590,1976-Democratic,True,46.47
46,1976,Minnesota,MN,"Carter, Jimmy",Democratic,1070440,1949931,1976-Democratic,True,54.9
47,1976,Minnesota,MN,"Ford, Gerald",Republican,819395,1949931,1976-Republican,False,42.02
48,1976,Mississippi,MS,"Carter, Jimmy",Democratic,381329,768390,1976-Democratic,True,49.63
49,1976,Mississippi,MS,"Ford, Gerald",Republican,366846,768390,1976-Republican,False,47.74
50,1976,Missouri,MO,"Carter, Jimmy",Democratic,998387,1953600,1976-Democratic,True,51.1
51,1976,Missouri,MO,"Ford, Gerald",Republican,927443,1953600,1976-Republican,False,47.47
52,1976,Montana,MT,"Ford, Gerald",Republican,173703,328734,1976-Republican,False,52.84
53,1976,Montana,MT,"Carter, Jimmy",Democratic,149259,328734,1976-Democratic,True,45.4
54,1976,Nebraska,NE,"Ford, Gerald",Republican,359219,606749,1976-Republican,False,59.2
55,1976,Nebraska,NE,"Carter, Jimmy",Democratic,233293,606749,1976-Democratic,True,38.45
56,1976,Nevada,NV,"Ford, Gerald",Republican,101273,201876,1976-Republican,False,50.17
57,1976,Nevada,NV,"Carter, Jimmy",Democratic,92479,201876,1976-Democratic,True,45.81
58,1976,New Hampshire,NH,"Ford, Gerald",Republican,185935,339627,1976-Republican,False,54.75
59,1976,New Hampshire,NH,"Carter, Jimmy",Democratic,147645,339627,1976-Democratic,True,43.47
60,1976,New Jersey,NJ,"Ford, Gerald",Republican,1509688,3014472,1976-Republican,False,50.08
61,1976,New Jersey,NJ,"Carter, Jimmy",Democratic,1444653,3014472,1976-Democratic,True,47.92
62,1976,New Mexico,NM,"Ford, Gerald",Republican,211419,416590,1976-Republican,False,50.75
63,1976,New Mexico,NM,"Carter, Jimmy",Democratic,201148,416590,1976-Democratic,True,48.28
64,1976,New York,NY,"Carter, Jimmy",Democratic,3244165,6668262,1976-Democratic,True,48.65
65,1976,New York,NY,"Ford, Gerald",Republican,2825913,6668262,1976-Republican,False,42.38
66,1976,North Carolina,NC,"Carter, Jimmy",Democratic,927365,1677906,1976-Democratic,True,55.27
67,1976,North Carolina,NC,"Ford, Gerald",Republican,741960,1677906,1976-Republican,False,44.22
68,1976,North Dakota,ND,"Ford, Gerald",Republican,153684,297308,1976-Republican,False,51.69
69,1976,North Dakota,ND,"Carter, Jimmy",Democratic,136078,297308,1976-Democratic,True,45.77
70,1976,Ohio,OH,"Carter, Jimmy",Democratic,2009959,4110456,1976-Democratic,True,48.9
71,1976,Ohio,OH,"Ford, Gerald",Republican,2000626,4110456,1976-Republican,False,48.67
72,1976,Oklahoma,OK,"Ford, Gerald",Republican,545708,1092251,1976-Republican,False,49.96
73,1976,Oklahoma,OK,"Carter, Jimmy",Democratic,532442,1092251,1976-Democratic,True,48.75
74,1976,Oregon,OR,"Ford, Gerald",Republican,492120,1029876,1976-Republican,False,47.78
75,1976,Oregon,OR,"Carter, Jimmy",Democratic,490407,1029876,1976-Democratic,True,47.62
76,1976,Pennsylvania,PA,"Carter, Jimmy",Democratic,2328677,4620787,1976-Democratic,True,50.4
77,1976,Pennsylvania,PA,"Ford, Gerald",Republican,2205604,4620787,1976-Republican,False,47.73
78,1976,Rhode Island,RI,"Carter, Jimmy",Democratic,227636,410584,1976-Democratic,True,55.44
79,1976,Rhode Island,RI,"Ford, Gerald",Republican,181249,410584,1976-Republican,False,44.14
